Type,Direction,Value,BaseNode,BaseMember
MEMBER,UNI GZ,-0.26,,5826
MEMBER,UNI GZ,-0.26,,5827
MEMBER,UNI GZ,-0.26,,5828
MEMBER,UNI GZ,-0.26,,5829
MEMBER,UNI GZ,-0.26,,5830
MEMBER,UNI GZ,-0.26,,5831
MEMBER,UNI GZ,-0.26,,5832
MEMBER,UNI GZ,-0.26,,6318
MEMBER,UNI GZ,-0.26,,6319
MEMBER,UNI GZ,-0.26,,6330
MEMBER,UNI GZ,-0.26,,6331
MEMBER,UNI GZ,-0.26,,6444
MEMBER,UNI GZ,-0.26,,6450
MEMBER,UNI GZ,-0.26,,6477
MEMBER,UNI GZ,-0.26,,6478
MEMBER,UNI GZ,-0.26,,6489
MEMBER,UNI GZ,-0.26,,6490
MEMBER,UNI GZ,-0.26,,6643
MEMBER,UNI GZ,-0.26,,6644
MEMBER,UNI GZ,-0.26,,6645
MEMBER,UNI GZ,-0.26,,6646
MEMBER,UNI GZ,-0.26,,6667
MEMBER,UNI GZ,-0.26,,6668
MEMBER,UNI GZ,-0.26,,6669
MEMBER,UNI GZ,-0.26,,6670
MEMBER,UNI GZ,-0.26,,6725
MEMBER,UNI GZ,-0.26,,6731
MEMBER,UNI GZ,-0.26,,6828
MEMBER,UNI GZ,-0.26,,6834
MEMBER,UNI GZ,-0.35,,799
MEMBER,UNI GZ,-0.35,,849
MEMBER,UNI GZ,-0.35,,852
MEMBER,UNI GZ,-0.35,,874
MEMBER,UNI GZ,-0.35,,912
MEMBER,UNI GZ,-0.35,,927
MEMBER,UNI GZ,-0.35,,930
MEMBER,UNI GZ,-0.35,,945
MEMBER,UNI GZ,-0.35,,963
MEMBER,UNI GZ,-0.35,,978
MEMBER,UNI GZ,-0.35,,981
MEMBER,UNI GZ,-0.35,,982
MEMBER,UNI GZ,-0.35,,1014
MEMBER,UNI GZ,-0.35,,1022
MEMBER,UNI GZ,-0.35,,1025
MEMBER,UNI GZ,-0.35,,1040
MEMBER,UNI GZ,-0.35,,1058
MEMBER,UNI GZ,-0.35,,1073
MEMBER,UNI GZ,-0.35,,1076
MEMBER,UNI GZ,-0.35,,1091
MEMBER,UNI GZ,-0.35,,1129
MEMBER,UNI GZ,-0.35,,1151
MEMBER,UNI GZ,-0.35,,1154
MEMBER,UNI GZ,-0.35,,1183
MEMBER,UNI GZ,-0.35,,3114
MEMBER,UNI GZ,-0.35,,3115
MEMBER,UNI GZ,-0.35,,3116
MEMBER,UNI GZ,-0.35,,3117
MEMBER,UNI GZ,-0.35,,3118
MEMBER,UNI GZ,-0.35,,3119
MEMBER,UNI GZ,-0.35,,3120
MEMBER,UNI GZ,-0.35,,3121
MEMBER,UNI GZ,-0.35,,3122
MEMBER,UNI GZ,-0.35,,3123
MEMBER,UNI GZ,-0.35,,3124
MEMBER,UNI GZ,-0.35,,3125
MEMBER,UNI GZ,-0.35,,7264
MEMBER,UNI GZ,-0.35,,7313
MEMBER,UNI GZ,-0.35,,7316
MEMBER,UNI GZ,-0.35,,7338
MEMBER,UNI GZ,-0.35,,7375
MEMBER,UNI GZ,-0.35,,7390
MEMBER,UNI GZ,-0.35,,7393
MEMBER,UNI GZ,-0.35,,7408
MEMBER,UNI GZ,-0.35,,7425
MEMBER,UNI GZ,-0.35,,7440
MEMBER,UNI GZ,-0.35,,7443
MEMBER,UNI GZ,-0.35,,7444
MEMBER,UNI GZ,-0.35,,7475
MEMBER,UNI GZ,-0.35,,7482
MEMBER,UNI GZ,-0.35,,7485
MEMBER,UNI GZ,-0.35,,7500
MEMBER,UNI GZ,-0.35,,7517
MEMBER,UNI GZ,-0.35,,7532
MEMBER,UNI GZ,-0.35,,7535
MEMBER,UNI GZ,-0.35,,7550
MEMBER,UNI GZ,-0.35,,7587
MEMBER,UNI GZ,-0.35,,7609
MEMBER,UNI GZ,-0.35,,7612
MEMBER,UNI GZ,-0.35,,7641
MEMBER,UNI GZ,-0.35,,8920
MEMBER,UNI GZ,-0.35,,8921
MEMBER,UNI GZ,-0.35,,8922
MEMBER,UNI GZ,-0.35,,8923
MEMBER,UNI GZ,-0.35,,8924
MEMBER,UNI GZ,-0.35,,8925
MEMBER,UNI GZ,-0.35,,8926
MEMBER,UNI GZ,-0.35,,8927
MEMBER,UNI GZ,-0.35,,8928
MEMBER,UNI GZ,-0.35,,8929
MEMBER,UNI GZ,-0.35,,8930
MEMBER,UNI GZ,-0.35,,8931
MEMBER,UNI GZ,-0.425,,1522
MEMBER,UNI GZ,-0.425,,1523
MEMBER,UNI GZ,-0.425,,1543
